"Section","Metric","Value","Details"
"EXECUTIVE SUMMARY","Analysis Date","2025-11-22 08:36:33",""
"EXECUTIVE SUMMARY","Methods Compared","2","Lab05a, Lab05b"
"EXECUTIVE SUMMARY","SIT Configuration Source","global-config.json","Analysis filtered to enabled SIT types only"
"EXECUTIVE SUMMARY","Enabled SIT Types (Included)","7","U.S. Social Security Number (SSN), Credit Card Number, U.S. / U.K. Passport Number, U.S. Driver's License Number, U.S. Individual Taxpayer Identification Number (ITIN), ABA Routing Number, U.S. Bank Account Number"
"EXECUTIVE SUMMARY","Disabled SIT Types (Excluded)","1","International Banking Account Number (IBAN)"
"EXECUTIVE SUMMARY","Lab05a - Detection Method","PnP-Regex",""
"EXECUTIVE SUMMARY","Lab05a - Total Detections","10803",""
"EXECUTIVE SUMMARY","Lab05a - Files with SIT Detections","4999","Unique files containing sensitive information"
"EXECUTIVE SUMMARY","Lab05a - Unique SIT Types","7",""
"EXECUTIVE SUMMARY","Lab05a - Sites Scanned","4","Finance-Simulation, Marketing-Simulation, Legal-Simulation, HR-Simulation"
"EXECUTIVE SUMMARY","Lab05b - Detection Method","eDiscovery-Purview",""
"EXECUTIVE SUMMARY","Lab05b - Total Detections","10308",""
"EXECUTIVE SUMMARY","Lab05b - Files with SIT Detections","4423","Unique files containing sensitive information"
"EXECUTIVE SUMMARY","Lab05b - Unique SIT Types","7",""
"EXECUTIVE SUMMARY","Lab05b - Sites Scanned","4","HR-Simulation, Finance-Simulation, Marketing-Simulation, Legal-Simulation"
"EXECUTIVE SUMMARY","Comparison: Lab05a vs Lab05b","Accuracy: 88.46%","Precision: 88.46%, Recall: 99.98%"
"EXECUTIVE SUMMARY","  True Positives (Matches)","4422","Files correctly detected by both methods"
"EXECUTIVE SUMMARY","  False Positives (Over-detection)","577","Files detected by regex but not Purview (potential false alarms)"
"EXECUTIVE SUMMARY","  False Negatives (Missed)","1","Files detected by Purview but missed by regex (gaps in coverage)"
"SITE COMPARISON","Site Header","--- Finance-Simulation ---",""
"SITE COMPARISON","Detection Count","3548","✓ Scanned - 1400 unique files"
"SITE COMPARISON","Detection Count","3023","✓ Scanned - 1186 unique files"
"SITE COMPARISON","Cross-Method Overlap","1186","Files detected by both methods at this site"
"SITE COMPARISON","Site Header","--- HR-Simulation ---",""
"SITE COMPARISON","Detection Count","1730","✓ Scanned - 1550 unique files"
"SITE COMPARISON","Detection Count","4332","✓ Scanned - 1550 unique files"
"SITE COMPARISON","Cross-Method Overlap","1550","Files detected by both methods at this site"
"SITE COMPARISON","Site Header","--- Legal-Simulation ---",""
"SITE COMPARISON","Detection Count","2593","✓ Scanned - 949 unique files"
"SITE COMPARISON","Detection Count","1203","✓ Scanned - 831 unique files"
"SITE COMPARISON","Cross-Method Overlap","830","Files detected by both methods at this site"
"SITE COMPARISON","Site Header","--- Marketing-Simulation ---",""
"SITE COMPARISON","Detection Count","2932","✓ Scanned - 1100 unique files"
"SITE COMPARISON","Detection Count","1750","✓ Scanned - 856 unique files"
"SITE COMPARISON","Cross-Method Overlap","856","Files detected by both methods at this site"
"SIT ANALYSIS","SIT Header",,
"SIT ANALYSIS","Detection Stats",,
"SIT ANALYSIS","Detection Stats",,
"SIT ANALYSIS","Cross-Method Agreement",,
"SIT ANALYSIS","SIT Header",,
"SIT ANALYSIS","Detection Stats",,
"SIT ANALYSIS","Detection Stats",,
"SIT ANALYSIS","Cross-Method Agreement",,
"SIT ANALYSIS","SIT Header",,
"SIT ANALYSIS","Detection Stats",,
"SIT ANALYSIS","Detection Stats",,
"SIT ANALYSIS","Cross-Method Agreement",,
"SIT ANALYSIS","SIT Header",,
"SIT ANALYSIS","Detection Stats",,
"SIT ANALYSIS","Detection Stats",,
"SIT ANALYSIS","Cross-Method Agreement",,
"SIT ANALYSIS","SIT Header",,
"SIT ANALYSIS","Detection Stats",,
"SIT ANALYSIS","Detection Stats",,
"SIT ANALYSIS","Cross-Method Agreement",,
"SIT ANALYSIS","SIT Header",,
"SIT ANALYSIS","Detection Stats",,
"SIT ANALYSIS","Detection Stats",,
"SIT ANALYSIS","Cross-Method Agreement",,
"SIT ANALYSIS","SIT Header",,
"SIT ANALYSIS","Detection Stats",,
"SIT ANALYSIS","Detection Stats",,
"SIT ANALYSIS","Cross-Method Agreement",,
"DELTA ANALYSIS",,,"4422 files correctly detected by both methods"
"DELTA ANALYSIS",,,"First 10 of 4422 matching files"
"DELTA ANALYSIS",,,"577 files detected by regex but NOT by Purview - potential false alarms"
"DELTA ANALYSIS",,,"First 10 of 577 over-detected files"
"DELTA ANALYSIS",,,"1 files detected by Purview but MISSED by regex - coverage gaps"
"DELTA ANALYSIS",,,"First 10 of 1 missed files"
"DELTA ANALYSIS",,,"Review false positives to refine regex patterns and reduce false alarm rate"
"DELTA ANALYSIS",,,"Add regex patterns for SIT types that Purview detected but regex missed"
"DELTA ANALYSIS",,,"Current accuracy: 88.46% - Expected range for regex patterns: 88-95%"
