File ID,Status,Error detail,Added by,All custodians,Attachment names,Author,BCC,BCC expanded,Category,CC,CC expanded,Client conversation ID,Compound path,Contains deleted message,Contains edited message,Content source application,Conversation index,Conversation name,Conversation topic,Conversation type,Created,Created by,Custodian,Data source,Date,Deduped compound path,Deduped custodians,Deduped file IDs,Deduped group file IDs,Deduped thread file IDs,Detected language,DG expansion result,Doc authors,Doc comments,Doc company,Doc date created,Doc index,Doc keywords,Doc subject,Doc template,Document ID index,Document ID path,Dominant theme,Email action,Email date sent,Email delivery receipt,Email importance,Email internet headers,Email level,Email participant domains,Email read receipt,Email recipient domains,Email recipients,Email sender domain,Email set,Email thread,Extracted content type,Extracted text length,Extracted text path,Family duplicate set,Family ID,Family size,File class,File extension,File name,Group ID,Group representative ID,Has attachment,Has text,Has unique attachment,Identifier,Immutable ID,In reply to ID,Inclusive type,Input file ID,Internet message ID,Is attachment from transcript,Is bcc to me,Is doc from conversation,Is draft,Is encrypted,Is external,Is group representative,Is inclusive,Is modern attachment,Is read,Is representative,Is thread representative,Is top for group,Item class,Item source,Last modified by,Last modified time,Last modified time for retention,Load ID,Location ID,Location sub type,Marked as pivot,Meeting end date,Meeting name,Meeting start date,Message kind,Modern attachment embedded URLs,Modern attachment parent ID,Native copy from,Native MD5,Native SHA 256,ND ET sort excl attach,ND ET sort incl attach,ND set,Organizer,Original file extension,Original path,Parent ID,Parent node,Participants,Participant expansion,Pivot ID,Potentially privileged,Preservation original URL,Received,Recipient count,Redacted file path,Redacted text path,Representative ID,Retention label,Retention URL,Sender,Sender/Author,Sensitive type,Sensitivity label,Set ID,Set order inclusives first,Shared with,SharePoint item content type ID,Similarity percent,Size,Source ID,SPO document link,SPO preservation original document unique ID,SPO unique ID,Subject/Title,Tags,Target path,Team name,Teams announcement title,Teams channel,Themes list,Thread participant domains,Thread participants,Thread representative ID,Title,To,To expanded,Type,Version group ID,Version number,Was remediated,Word count,Workload
,Successful,,IndexQuery,,,Marcus Jacobson,,,,,,,https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10046_2025-10-22.pdf,False,False,SharePoint,,,,,2025-12-23T07:20:16Z,Marcus Jacobson,HR-Simulation@marcusj-dev.cloud,MARCUSJ-DEV - HR,2025-12-23 07:20:16Z,,,,,,,,Marcus Jacobson,,,,,,,,3018,,,,1980-01-02T00:00:00Z,,Normal,,,,,,,,,,,,,,,,,pdf,BenefitsEnrollment_EMP-10046_2025-10-22.pdf,,,False,False,,,AAAAAB2EAxGqZhHNm8gAqgAvxFoNAGn4ZKR8I2lBhTr22LqkF5sAAAAAGO4AAA==,,,,<PH7PR06MB91000355987E4BF4E01B7969AAB5A@PH7PR06MB9100.namprd06.prod.outlook.com>,False,,False,,False,,,,False,False,,,,IPM.File,HR-Simulation,Marcus Jacobson,2025-12-23T07:20:16Z,,,e76390f5-76cf-4a94-ba7f-ddba1b0308e3,Site,,,,,files,,,,,,,,,,,,,,,,,,,1980-01-02T00:00:00Z,0,,,,,,,Marcus Jacobson,"a44669fe-0d48-453d-a9b1-2cc83f2cba77$#,#&50b8b56b-4ef8-44c2-a924-03374f5831ce$#,#&11631f87-7ffe-4052-b173-abda16b231f3",,,,,0x010100F5638CF40D716148BFCCC4D553150134,,729,https://marcusjcloud.sharepoint.com/sites/HR-Simulation,,,e5f696f0-1563-4853-874e-d772a16b20d3,BenefitsEnrollment_EMP-10046_2025-10-22.pdf,,,,,,,,,,BenefitsEnrollment_EMP-10046_2025-10-22,,,Unknown,,,,,SharePoint
,Successful,,IndexQuery,,,Marcus Jacobson,,,,,,,https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/DirectDeposit_EMP-10069_2025-12-08.pdf,False,False,SharePoint,,,,,2025-12-23T07:21:16Z,Marcus Jacobson,HR-Simulation@marcusj-dev.cloud,MARCUSJ-DEV - HR,2025-12-23 07:21:16Z,,,,,,,,Marcus Jacobson,,,,,,,,3078,,,,1980-01-02T00:00:00Z,,Normal,,,,,,,,,,,,,,,,,pdf,DirectDeposit_EMP-10069_2025-12-08.pdf,,,False,False,,,AAAAAB2EAxGqZhHNm8gAqgAvxFoNAGn4ZKR8I2lBhTr22LqkF5sAAAAAGSoAAA==,,,,<PH7PR06MB91002C2B6FB71570973C3848AAB5A@PH7PR06MB9100.namprd06.prod.outlook.com>,False,,False,,False,,,,False,False,,,,IPM.File,HR-Simulation,Marcus Jacobson,2025-12-23T07:21:16Z,,,e76390f5-76cf-4a94-ba7f-ddba1b0308e3,Site,,,,,files,,,,,,,,,,,,,,,,,,,1980-01-02T00:00:00Z,0,,,,,,,Marcus Jacobson,"a44669fe-0d48-453d-a9b1-2cc83f2cba77$#,#&50b8b56b-4ef8-44c2-a924-03374f5831ce$#,#&11631f87-7ffe-4052-b173-abda16b231f3",,,,,0x010100F5638CF40D716148BFCCC4D553150134,,661,https://marcusjcloud.sharepoint.com/sites/HR-Simulation,,,640dd761-b043-4910-9f1c-1de8e622d548,DirectDeposit_EMP-10069_2025-12-08.pdf,,,,,,,,,,DirectDeposit_EMP-10069_2025-12-08,,,Unknown,,,,,SharePoint
,Successful,,IndexQuery,,,Marcus Jacobson,,,,,,,https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10077_2025-06-09.docx,False,False,SharePoint,,,,,2025-12-23T07:20:34Z,Marcus Jacobson,HR-Simulation@marcusj-dev.cloud,MARCUSJ-DEV - HR,2025-12-23 07:20:34Z,,,,,,,,Marcus Jacobson,,,,,,,,3029,,,,1980-01-02T00:00:00Z,,Normal,,,,,,,,,,,,,,,,,docx,BenefitsEnrollment_EMP-10077_2025-06-09.docx,,,False,False,,,AAAAAB2EAxGqZhHNm8gAqgAvxFoNAGn4ZKR8I2lBhTr22LqkF5sAAAAAGPkAAA==,,,,<PH7PR06MB91004483BD631DFFD64731EFAAB5A@PH7PR06MB9100.namprd06.prod.outlook.com>,False,,False,,False,,,,False,False,,,,IPM.File,HR-Simulation,Marcus Jacobson,2025-12-23T07:20:34Z,,,e76390f5-76cf-4a94-ba7f-ddba1b0308e3,Site,,,,,files,,,,,,,,,,,,,,,,,,,1980-01-02T00:00:00Z,0,,,,,,,Marcus Jacobson,"a44669fe-0d48-453d-a9b1-2cc83f2cba77$#,#&50b8b56b-4ef8-44c2-a924-03374f5831ce$#,#&11631f87-7ffe-4052-b173-abda16b231f3",,,,,0x010100F5638CF40D716148BFCCC4D553150134,,700,https://marcusjcloud.sharepoint.com/sites/HR-Simulation,,,bc476a18-0555-4ed3-92e5-31c7eddd8c15,BenefitsEnrollment_EMP-10077_2025-06-09.docx,,,,,,,,,,BenefitsEnrollment_EMP-10077_2025-06-09,,,Unknown,,,,,SharePoint
,Successful,,IndexQuery,,,Marcus Jacobson,,,,,,,https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10065_2025-01-28.docx,False,False,SharePoint,,,,,2025-12-23T07:20:26Z,Marcus Jacobson,HR-Simulation@marcusj-dev.cloud,MARCUSJ-DEV - HR,2025-12-23 07:20:26Z,,,,,,,,Marcus Jacobson,,,,,,,,3042,,,,1980-01-02T00:00:00Z,,Normal,,,,,,,,,,,,,,,,,docx,BenefitsEnrollment_EMP-10065_2025-01-28.docx,,,False,False,,,AAAAAB2EAxGqZhHNm8gAqgAvxFoNAGn4ZKR8I2lBhTr22LqkF5sAAAAAGQYAAA==,,,,<PH7PR06MB9100EADCF9B55C1B82C140EEAAB5A@PH7PR06MB9100.namprd06.prod.outlook.com>,False,,False,,False,,,,False,False,,,,IPM.File,HR-Simulation,Marcus Jacobson,2025-12-23T07:20:26Z,,,e76390f5-76cf-4a94-ba7f-ddba1b0308e3,Site,,,,,files,,,,,,,,,,,,,,,,,,,1980-01-02T00:00:00Z,0,,,,,,,Marcus Jacobson,"a44669fe-0d48-453d-a9b1-2cc83f2cba77$#,#&50b8b56b-4ef8-44c2-a924-03374f5831ce$#,#&11631f87-7ffe-4052-b173-abda16b231f3",,,,,0x010100F5638CF40D716148BFCCC4D553150134,,728,https://marcusjcloud.sharepoint.com/sites/HR-Simulation,,,5e354c21-e8e0-4582-9cdc-db07bfc00dea,BenefitsEnrollment_EMP-10065_2025-01-28.docx,,,,,,,,,,BenefitsEnrollment_EMP-10065_2025-01-28,,,Unknown,,,,,SharePoint
,Successful,,IndexQuery,,,Marcus Jacobson,,,,,,,https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10009_2025-06-13.xlsx,False,False,SharePoint,,,,,2025-12-23T07:20:08Z,Marcus Jacobson,HR-Simulation@marcusj-dev.cloud,MARCUSJ-DEV - HR,2025-12-23 07:20:08Z,,,,,,,,Marcus Jacobson,,,,,,,,3046,,,,1980-01-02T00:00:00Z,,Normal,,,,,,,,,,,,,,,,,xlsx,BenefitsEnrollment_EMP-10009_2025-06-13.xlsx,,,False,False,,,AAAAAB2EAxGqZhHNm8gAqgAvxFoNAGn4ZKR8I2lBhTr22LqkF5sAAAAAGQoAAA==,,,,<PH7PR06MB91009577DB86B42E88F091B8AAB5A@PH7PR06MB9100.namprd06.prod.outlook.com>,False,,False,,False,,,,False,False,,,,IPM.File,HR-Simulation,Marcus Jacobson,2025-12-23T07:20:08Z,,,e76390f5-76cf-4a94-ba7f-ddba1b0308e3,Site,,,,,files,,,,,,,,,,,,,,,,,,,1980-01-02T00:00:00Z,0,,,,,,,Marcus Jacobson,"a44669fe-0d48-453d-a9b1-2cc83f2cba77$#,#&50b8b56b-4ef8-44c2-a924-03374f5831ce$#,#&11631f87-7ffe-4052-b173-abda16b231f3",,,,,0x010100F5638CF40D716148BFCCC4D553150134,,731,https://marcusjcloud.sharepoint.com/sites/HR-Simulation,,,4c0b1cf0-2576-4767-95fe-0ffb080c797b,BenefitsEnrollment_EMP-10009_2025-06-13.xlsx,,,,,,,,,,BenefitsEnrollment_EMP-10009_2025-06-13,,,Unknown,,,,,SharePoint
,Successful,,IndexQuery,,,Marcus Jacobson,,,,,,,https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/EmployeeHandbook_EMP-10063_2025-08-29.docx,False,False,SharePoint,,,,,2025-12-23T07:21:54Z,Marcus Jacobson,HR-Simulation@marcusj-dev.cloud,MARCUSJ-DEV - HR,2025-12-23 07:21:54Z,,,,,,,,Marcus Jacobson,,,,,,,,3118,,,,1980-01-02T00:00:00Z,,Normal,,,,,,,,,,,,,,,,,docx,EmployeeHandbook_EMP-10063_2025-08-29.docx,,,False,False,,,AAAAAB2EAxGqZhHNm8gAqgAvxFoNAGn4ZKR8I2lBhTr22LqkF5sAAAAAGVIAAA==,,,,<PH7PR06MB9100426C61FCC01C692AFD1EAAB5A@PH7PR06MB9100.namprd06.prod.outlook.com>,False,,False,,False,,,,False,False,,,,IPM.File,HR-Simulation,Marcus Jacobson,2025-12-23T07:21:54Z,,,e76390f5-76cf-4a94-ba7f-ddba1b0308e3,Site,,,,,files,,,,,,,,,,,,,,,,,,,1980-01-02T00:00:00Z,0,,,,,,,Marcus Jacobson,"a44669fe-0d48-453d-a9b1-2cc83f2cba77$#,#&50b8b56b-4ef8-44c2-a924-03374f5831ce$#,#&11631f87-7ffe-4052-b173-abda16b231f3",,,,,0x010100F5638CF40D716148BFCCC4D553150134,,679,https://marcusjcloud.sharepoint.com/sites/HR-Simulation,,,882c19bc-7de5-485b-b84a-ccec52e5b152,EmployeeHandbook_EMP-10063_2025-08-29.docx,,,,,,,,,,EmployeeHandbook_EMP-10063_2025-08-29,,,Unknown,,,,,SharePoint
,Successful,,IndexQuery,,,Marcus Jacobson,,,,,,,https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/EmployeeHandbook_EMP-10064_2025-04-19.docx,False,False,SharePoint,,,,,2025-12-23T07:21:55Z,Marcus Jacobson,HR-Simulation@marcusj-dev.cloud,MARCUSJ-DEV - HR,2025-12-23 07:21:55Z,,,,,,,,Marcus Jacobson,,,,,,,,3120,,,,1980-01-02T00:00:00Z,,Normal,,,,,,,,,,,,,,,,,docx,EmployeeHandbook_EMP-10064_2025-04-19.docx,,,False,False,,,AAAAAB2EAxGqZhHNm8gAqgAvxFoNAGn4ZKR8I2lBhTr22LqkF5sAAAAAGVQAAA==,,,,<PH7PR06MB9100FF765E50F399B73091F3AAB5A@PH7PR06MB9100.namprd06.prod.outlook.com>,False,,False,,False,,,,False,False,,,,IPM.File,HR-Simulation,Marcus Jacobson,2025-12-23T07:21:55Z,,,e76390f5-76cf-4a94-ba7f-ddba1b0308e3,Site,,,,,files,,,,,,,,,,,,,,,,,,,1980-01-02T00:00:00Z,0,,,,,,,Marcus Jacobson,"a44669fe-0d48-453d-a9b1-2cc83f2cba77$#,#&50b8b56b-4ef8-44c2-a924-03374f5831ce$#,#&11631f87-7ffe-4052-b173-abda16b231f3",,,,,0x010100F5638CF40D716148BFCCC4D553150134,,665,https://marcusjcloud.sharepoint.com/sites/HR-Simulation,,,cdc7d580-9068-4af2-9da9-9e11a7540776,EmployeeHandbook_EMP-10064_2025-04-19.docx,,,,,,,,,,EmployeeHandbook_EMP-10064_2025-04-19,,,Unknown,,,,,SharePoint
,Successful,,IndexQuery,,,Marcus Jacobson,,,,,,,https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/EmployeeHandbook_EMP-10072_2025-12-20.xlsx,False,False,SharePoint,,,,,2025-12-23T07:21:58Z,Marcus Jacobson,HR-Simulation@marcusj-dev.cloud,MARCUSJ-DEV - HR,2025-12-23 07:21:58Z,,,,,,,,Marcus Jacobson,,,,,,,,3119,,,,1980-01-02T00:00:00Z,,Normal,,,,,,,,,,,,,,,,,xlsx,EmployeeHandbook_EMP-10072_2025-12-20.xlsx,,,False,False,,,AAAAAB2EAxGqZhHNm8gAqgAvxFoNAGn4ZKR8I2lBhTr22LqkF5sAAAAAGVMAAA==,,,,<PH7PR06MB91003FEE5D91945738C1061CAAB5A@PH7PR06MB9100.namprd06.prod.outlook.com>,False,,False,,False,,,,False,False,,,,IPM.File,HR-Simulation,Marcus Jacobson,2025-12-23T07:21:58Z,,,e76390f5-76cf-4a94-ba7f-ddba1b0308e3,Site,,,,,files,,,,,,,,,,,,,,,,,,,1980-01-02T00:00:00Z,0,,,,,,,Marcus Jacobson,"a44669fe-0d48-453d-a9b1-2cc83f2cba77$#,#&50b8b56b-4ef8-44c2-a924-03374f5831ce$#,#&11631f87-7ffe-4052-b173-abda16b231f3",,,,,0x010100F5638CF40D716148BFCCC4D553150134,,679,https://marcusjcloud.sharepoint.com/sites/HR-Simulation,,,6d11c9dd-34c2-4137-8e9a-0bf934fae691,EmployeeHandbook_EMP-10072_2025-12-20.xlsx,,,,,,,,,,EmployeeHandbook_EMP-10072_2025-12-20,,,Unknown,,,,,SharePoint
,Successful,,IndexQuery,,,Marcus Jacobson,,,,,,,https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/BenefitsEnrollment_EMP-10093_2025-08-06.docx,False,False,SharePoint,,,,,2025-12-23T07:20:40Z,Marcus Jacobson,HR-Simulation@marcusj-dev.cloud,MARCUSJ-DEV - HR,2025-12-23 07:20:40Z,,,,,,,,Marcus Jacobson,,,,,,,,3048,,,,1980-01-02T00:00:00Z,,Normal,,,,,,,,,,,,,,,,,docx,BenefitsEnrollment_EMP-10093_2025-08-06.docx,,,False,False,,,AAAAAB2EAxGqZhHNm8gAqgAvxFoNAGn4ZKR8I2lBhTr22LqkF5sAAAAAGQwAAA==,,,,<PH7PR06MB91001786B58F97CCE228669FAAB5A@PH7PR06MB9100.namprd06.prod.outlook.com>,False,,False,,False,,,,False,False,,,,IPM.File,HR-Simulation,Marcus Jacobson,2025-12-23T07:20:40Z,,,e76390f5-76cf-4a94-ba7f-ddba1b0308e3,Site,,,,,files,,,,,,,,,,,,,,,,,,,1980-01-02T00:00:00Z,0,,,,,,,Marcus Jacobson,"a44669fe-0d48-453d-a9b1-2cc83f2cba77$#,#&50b8b56b-4ef8-44c2-a924-03374f5831ce$#,#&11631f87-7ffe-4052-b173-abda16b231f3",,,,,0x010100F5638CF40D716148BFCCC4D553150134,,709,https://marcusjcloud.sharepoint.com/sites/HR-Simulation,,,6a69d9e3-7158-4be9-9c1f-6af05d7e7571,BenefitsEnrollment_EMP-10093_2025-08-06.docx,,,,,,,,,,BenefitsEnrollment_EMP-10093_2025-08-06,,,Unknown,,,,,SharePoint
,Successful,,IndexQuery,,,Marcus Jacobson,,,,,,,https://marcusjcloud.sharepoint.com/sites/HR-Simulation/Shared Documents/EmployeeHandbook_EMP-10052_2025-11-28.docx,False,False,SharePoint,,,,,2025-12-23T07:21:53Z,Marcus Jacobson,HR-Simulation@marcusj-dev.cloud,MARCUSJ-DEV - HR,2025-12-23 07:21:53Z,,,,,,,,Marcus Jacobson,,,,,,,,3121,,,,1980-01-02T00:00:00Z,,Normal,,,,,,,,,,,,,,,,,docx,EmployeeHandbook_EMP-10052_2025-11-28.docx,,,False,False,,,AAAAAB2EAxGqZhHNm8gAqgAvxFoNAGn4ZKR8I2lBhTr22LqkF5sAAAAAGVUAAA==,,,,<PH7PR06MB910047596A6FE16AC2EE4EDBAAB5A@PH7PR06MB9100.namprd06.prod.outlook.com>,False,,False,,False,,,,False,False,,,,IPM.File,HR-Simulation,Marcus Jacobson,2025-12-23T07:21:53Z,,,e76390f5-76cf-4a94-ba7f-ddba1b0308e3,Site,,,,,files,,,,,,,,,,,,,,,,,,,1980-01-02T00:00:00Z,0,,,,,,,Marcus Jacobson,"a44669fe-0d48-453d-a9b1-2cc83f2cba77$#,#&50b8b56b-4ef8-44c2-a924-03374f5831ce$#,#&11631f87-7ffe-4052-b173-abda16b231f3",,,,,0x010100F5638CF40D716148BFCCC4D553150134,,690,https://marcusjcloud.sharepoint.com/sites/HR-Simulation,,,51781c4a-bbce-4209-8d1d-24b624b2f7f5,EmployeeHandbook_EMP-10052_2025-11-28.docx,,,,,,,,,,EmployeeHandbook_EMP-10052_2025-11-28,,,Unknown,,,,,SharePoint
