"Section","SiteName","Metric","Lab","Value","Details"
"SITE COMPARISON","Finance-Simulation","Site Header","All","--- Finance-Simulation ---",""
"SITE COMPARISON","Finance-Simulation","Detection Count","Lab05a","695","✓ Scanned - 280 unique files"
"SITE COMPARISON","Finance-Simulation","Detection Count","Lab05b","0","✗ Not Scanned - 0 unique files"
"SITE COMPARISON","Finance-Simulation","Detection Count","Lab05c","523","✓ Scanned - 280 unique files"
"SITE COMPARISON","Finance-Simulation","Cross-Method Overlap","Comparison","0","Files detected by both methods at this site"
"SITE COMPARISON","HR-Simulation","Site Header","All","--- HR-Simulation ---",""
"SITE COMPARISON","HR-Simulation","Detection Count","Lab05a","355","✓ Scanned - 310 unique files"
"SITE COMPARISON","HR-Simulation","Detection Count","Lab05b","0","✗ Not Scanned - 0 unique files"
"SITE COMPARISON","HR-Simulation","Detection Count","Lab05c","310","✓ Scanned - 310 unique files"
"SITE COMPARISON","HR-Simulation","Cross-Method Overlap","Comparison","0","Files detected by both methods at this site"
"SITE COMPARISON","Legal-Simulation","Site Header","All","--- Legal-Simulation ---",""
"SITE COMPARISON","Legal-Simulation","Detection Count","Lab05a","522","✓ Scanned - 190 unique files"
"SITE COMPARISON","Legal-Simulation","Detection Count","Lab05b","0","✗ Not Scanned - 0 unique files"
"SITE COMPARISON","Legal-Simulation","Detection Count","Lab05c","235","✓ Scanned - 164 unique files"
"SITE COMPARISON","Legal-Simulation","Cross-Method Overlap","Comparison","0","Files detected by both methods at this site"
"SITE COMPARISON","Unknown","Site Header","All","--- Unknown ---",""
"SITE COMPARISON","Unknown","Detection Count","Lab05a","0","✗ Not Scanned - 0 unique files"
"SITE COMPARISON","Unknown","Detection Count","Lab05b","1015","✓ Scanned - 701 unique files"
"SITE COMPARISON","Unknown","Detection Count","Lab05c","0","✗ Not Scanned - 0 unique files"
"SITE COMPARISON","Unknown","Cross-Method Overlap","Comparison","0","Files detected by both methods at this site"
