File,Rule,Happened,User,Activity,Workload
https://contoso.sharepoint.com/sites/FinanceReports/Shared Documents/Budget-Analysis-Q4.xlsx,SharePoint Sensitive Data - High Severity - Credit Card,2025-12-26T10:15:23Z,admin@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/FinanceReports/Shared Documents/Expense-Report-December.xlsx,SharePoint Sensitive Data - High Severity - Credit Card,2025-12-26T10:16:45Z,finance.manager@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/FinanceReports/Shared Documents/Vendor-Payments-2025.xlsx,SharePoint Sensitive Data - High Severity - Credit Card,2025-12-26T10:18:12Z,admin@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/HRConfidential/Shared Documents/Employee-Payroll-Data.xlsx,SharePoint Sensitive Data - Low Severity - SSN,2025-12-26T10:20:33Z,hr.admin@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/HRConfidential/Shared Documents/New-Hire-Forms-2025.docx,SharePoint Sensitive Data - Low Severity - SSN,2025-12-26T10:22:18Z,hr.admin@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/HRConfidential/Shared Documents/Benefits-Enrollment.pdf,SharePoint Sensitive Data - Low Severity - SSN,2025-12-26T10:24:05Z,admin@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/HRConfidential/Shared Documents/Performance-Reviews-Q4.xlsx,SharePoint Sensitive Data - Low Severity - SSN,2025-12-26T10:26:42Z,hr.manager@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/HRConfidential/Shared Documents/I9-Verification-Records.pdf,SharePoint Sensitive Data - Low Severity - SSN,2025-12-26T10:28:15Z,hr.admin@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/FinanceReports/Shared Documents/Customer-Credit-Records.xlsx,SharePoint Sensitive Data - High Severity - Credit Card,2025-12-26T10:30:22Z,finance.analyst@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/FinanceReports/Shared Documents/Payment-Processing-Log.xlsx,SharePoint Sensitive Data - High Severity - Credit Card,2025-12-26T10:32:48Z,admin@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/LegalDocs/Shared Documents/Settlement-Agreement-Smith.docx,SharePoint Sensitive Data - Low Severity - SSN,2025-12-26T10:35:10Z,legal.counsel@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/LegalDocs/Shared Documents/Insurance-Claims-2025.pdf,SharePoint Sensitive Data - Low Severity - SSN,2025-12-26T10:37:25Z,legal.admin@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/FinanceReports/Shared Documents/Credit-Card-Transactions.csv,SharePoint Sensitive Data - High Severity - Credit Card,2025-12-26T10:40:08Z,finance.manager@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/HRConfidential/Shared Documents/Employee-Directory.xlsx,SharePoint Sensitive Data - Low Severity - SSN,2025-12-26T10:42:33Z,hr.admin@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/FinanceReports/Shared Documents/Refund-Processing-Queue.xlsx,SharePoint Sensitive Data - High Severity - Credit Card,2025-12-26T10:45:15Z,admin@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/HRConfidential/Shared Documents/Termination-Records.docx,SharePoint Sensitive Data - Low Severity - SSN,2025-12-26T10:48:02Z,hr.manager@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/LegalDocs/Shared Documents/Background-Check-Results.pdf,SharePoint Sensitive Data - Low Severity - SSN,2025-12-26T10:50:28Z,legal.counsel@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/FinanceReports/Shared Documents/Invoice-Payment-Records.xlsx,SharePoint Sensitive Data - High Severity - Credit Card,2025-12-26T10:52:45Z,finance.analyst@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/HRConfidential/Shared Documents/Tax-Forms-W2-2025.pdf,SharePoint Sensitive Data - Low Severity - SSN,2025-12-26T10:55:12Z,hr.admin@contoso.com,DLP rule matched,SharePoint
https://contoso.sharepoint.com/sites/FinanceReports/Shared Documents/Merchant-Account-Details.xlsx,SharePoint Sensitive Data - High Severity - Credit Card,2025-12-26T10:58:19Z,admin@contoso.com,DLP rule matched,SharePoint
